episode_number,user_id,episode_id,cpt,created_at,updated_at,tv_show_name,episode_season_number
6,5449324,4427087,1,2020-12-05 13:50:42,2020-12-05 13:50:42,Misfits,4
7,5449324,4427088,1,2020-12-06 13:21:30,2020-12-06 13:21:30,Misfits,4
8,5449324,4427089,1,2020-12-06 13:21:32,2020-12-06 13:21:32,Misfits,4
1,5449324,4460750,1,2018-11-17 21:39:23,2018-11-17 21:39:23,Code Lyoko: Evolution,1
1,5449324,4460763,1,2023-09-03 20:55:08,2023-09-03 20:55:08,My Mad Fat Diary,1
1,5449324,4466132,1,2019-12-29 05:28:47,2019-12-29 05:28:47,EastSiders,1
2,5449324,4471864,1,2022-06-29 16:26:46,2022-06-29 16:26:46,Code Lyoko: Evolution,1
2,5449324,4473637,1,2023-09-03 20:55:10,2023-09-03 20:55:10,My Mad Fat Diary,1
3,5449324,4490021,1,2023-09-03 20:55:13,2023-09-03 20:55:13,My Mad Fat Diary,1
4,5449324,4494744,1,2023-09-03 20:55:19,2023-09-03 20:55:19,My Mad Fat Diary,1
5,5449324,4499064,1,2023-09-11 19:07:27,2023-09-11 19:07:27,My Mad Fat Diary,1
6,5449324,4499065,1,2023-09-11 19:07:29,2023-09-11 19:07:29,My Mad Fat Diary,1
1,5449324,4507237,1,2017-07-17 15:15:03,2017-07-17 15:15:03,Orange Is the New Black,1
2,5449324,4550331,1,2017-07-17 15:15:03,2017-07-17 15:15:03,Orange Is the New Black,1
3,5449324,4550332,1,2017-07-17 15:15:03,2017-07-17 15:15:03,Orange Is the New Black,1
4,5449324,4550333,1,2017-07-17 15:15:03,2017-07-17 15:15:03,Orange Is the New Black,1
5,5449324,4550334,1,2017-07-17 15:15:03,2017-07-17 15:15:03,Orange Is the New Black,1
6,5449324,4550335,1,2017-07-17 15:15:03,2017-07-17 15:15:03,Orange Is the New Black,1
7,5449324,4550336,1,2017-07-17 15:15:03,2017-07-17 15:15:03,Orange Is the New Black,1
8,5449324,4550337,1,2017-07-17 15:15:03,2017-07-17 15:15:03,Orange Is the New Black,1
9,5449324,4550338,1,2017-07-17 15:15:03,2017-07-17 15:15:03,Orange Is the New Black,1
10,5449324,4550339,1,2017-07-17 15:15:03,2017-07-17 15:15:03,Orange Is the New Black,1
11,5449324,4550341,1,2017-07-17 15:15:03,2017-07-17 15:15:03,Orange Is the New Black,1
12,5449324,4550343,1,2017-07-17 15:15:03,2017-07-17 15:15:03,Orange Is the New Black,1
13,5449324,4550345,1,2017-07-17 15:15:03,2017-07-17 15:15:03,Orange Is the New Black,1
1,5449324,4558764,1,2020-08-15 12:41:12,2020-08-15 12:41:12,American Horror Story,3
2,5449324,4626059,1,2020-08-15 13:36:26,2020-08-15 13:36:26,American Horror Story,3
3,5449324,4626060,1,2020-08-16 12:23:11,2020-08-16 12:23:11,American Horror Story,3
4,5449324,4629664,1,2020-08-16 12:23:13,2020-08-16 12:23:13,American Horror Story,3
1,5449324,4655626,1,2020-12-13 14:36:37,2020-12-13 14:36:37,Misfits,5
2,5449324,4682065,1,2020-12-13 14:36:37,2020-12-13 14:36:37,Misfits,5
3,5449324,4682066,3,2020-12-12 19:42:10,2020-12-13 14:36:37,Misfits,5
4,5449324,4682067,3,2020-12-12 19:42:05,2020-12-13 14:36:37,Misfits,5
5,5449324,4682068,3,2020-12-12 19:42:04,2020-12-13 14:36:37,Misfits,5
6,5449324,4682069,3,2020-12-12 19:42:02,2020-12-13 14:36:37,Misfits,5
7,5449324,4682070,3,2020-12-12 19:42:01,2020-12-13 14:36:37,Misfits,5
8,5449324,4682071,3,2020-12-12 19:41:59,2020-12-13 14:36:37,Misfits,5
1,5449324,4686305,1,2017-07-17 15:15:04,2017-07-17 15:15:04,Orange Is the New Black,2
1,5449324,4790784,2,2023-09-11 19:07:39,2023-09-17 18:55:43,My Mad Fat Diary,2
2,5449324,4799267,1,2017-07-17 15:15:04,2017-07-17 15:15:04,Orange Is the New Black,2
3,5449324,4799302,1,2017-07-17 15:15:04,2017-07-17 15:15:04,Orange Is the New Black,2
4,5449324,4799303,1,2017-07-17 15:15:04,2017-07-17 15:15:04,Orange Is the New Black,2
5,5449324,4799304,1,2017-07-17 15:15:04,2017-07-17 15:15:04,Orange Is the New Black,2
6,5449324,4799305,1,2017-07-17 15:15:04,2017-07-17 15:15:04,Orange Is the New Black,2
7,5449324,4799306,1,2017-07-17 15:15:04,2017-07-17 15:15:04,Orange Is the New Black,2
8,5449324,4799307,1,2017-07-17 15:15:04,2017-07-17 15:15:04,Orange Is the New Black,2
9,5449324,4799308,1,2017-07-17 15:15:04,2017-07-17 15:15:04,Orange Is the New Black,2
10,5449324,4799309,1,2017-07-17 15:15:04,2017-07-17 15:15:04,Orange Is the New Black,2
11,5449324,4799310,1,2017-07-17 15:15:04,2017-07-17 15:15:04,Orange Is the New Black,2
12,5449324,4799311,1,2017-07-17 15:15:04,2017-07-17 15:15:04,Orange Is the New Black,2
13,5449324,4799312,1,2017-07-17 15:15:04,2017-07-17 15:15:04,Orange Is the New Black,2
2,5449324,4801123,2,2023-09-11 19:07:46,2023-09-17 18:55:43,My Mad Fat Diary,2
3,5449324,4807169,2,2023-09-11 19:07:48,2023-09-17 18:55:43,My Mad Fat Diary,2
4,5449324,4807833,1,2023-09-17 18:55:43,2023-09-17 18:55:43,My Mad Fat Diary,2
5,5449324,4820319,1,2023-09-17 18:55:43,2023-09-17 18:55:43,My Mad Fat Diary,2
6,5449324,4820320,1,2023-09-17 18:55:43,2023-09-17 18:55:43,My Mad Fat Diary,2
7,5449324,4820321,1,2023-09-17 18:55:43,2023-09-17 18:55:43,My Mad Fat Diary,2
1,5449324,5043420,1,2017-07-17 15:15:06,2017-07-17 15:15:06,Orange Is the New Black,3
2,5449324,5044432,1,2017-07-17 15:15:06,2017-07-17 15:15:06,Orange Is the New Black,3
3,5449324,5044433,1,2017-07-17 15:15:06,2017-07-17 15:15:06,Orange Is the New Black,3
4,5449324,5044434,1,2017-07-17 15:15:06,2017-07-17 15:15:06,Orange Is the New Black,3
5,5449324,5044435,1,2017-07-17 15:15:06,2017-07-17 15:15:06,Orange Is the New Black,3
6,5449324,5044436,1,2017-07-17 15:15:06,2017-07-17 15:15:06,Orange Is the New Black,3
7,5449324,5044437,1,2017-07-17 15:15:06,2017-07-17 15:15:06,Orange Is the New Black,3
8,5449324,5044438,1,2017-07-17 15:15:06,2017-07-17 15:15:06,Orange Is the New Black,3
9,5449324,5044439,1,2017-07-17 15:15:06,2017-07-17 15:15:06,Orange Is the New Black,3
10,5449324,5044440,1,2017-07-17 15:15:06,2017-07-17 15:15:06,Orange Is the New Black,3
11,5449324,5044441,1,2017-07-17 15:15:06,2017-07-17 15:15:06,Orange Is the New Black,3
12,5449324,5044442,1,2017-07-17 15:15:06,2017-07-17 15:15:06,Orange Is the New Black,3
13,5449324,5044443,1,2017-07-17 15:15:06,2017-07-17 15:15:06,Orange Is the New Black,3
2,5449324,5145423,1,2019-05-19 20:51:24,2019-05-19 20:51:24,The Wakos,2
3,5449324,5159712,1,2019-05-19 20:51:21,2019-05-19 20:51:21,The Wakos,2
1,5449324,5171866,1,2023-09-17 18:55:47,2023-09-17 18:55:47,My Mad Fat Diary,3
2,5449324,5248996,1,2023-09-17 18:55:47,2023-09-17 18:55:47,My Mad Fat Diary,3
3,5449324,5248997,1,2023-09-17 18:55:47,2023-09-17 18:55:47,My Mad Fat Diary,3
1,5449324,5280222,1,2018-04-17 23:25:45,2018-04-17 23:25:45,American Horror Story,5
2,5449324,5285333,2,2017-07-17 15:14:50,2018-04-17 23:25:45,American Horror Story,5
3,5449324,5287848,2,2017-07-17 15:14:50,2018-04-17 23:25:45,American Horror Story,5
4,5449324,5309449,2,2017-07-17 15:14:50,2018-04-17 23:25:45,American Horror Story,5
5,5449324,5309450,2,2017-07-17 15:14:50,2018-04-17 23:25:45,American Horror Story,5
6,5449324,5340308,2,2017-07-17 15:14:50,2018-04-17 23:25:45,American Horror Story,5
7,5449324,5372164,2,2017-07-17 15:14:50,2018-04-17 23:25:45,American Horror Story,5
8,5449324,5385229,2,2017-07-17 15:14:50,2018-04-17 23:25:45,American Horror Story,5
9,5449324,5396977,2,2017-07-17 15:14:50,2018-04-17 23:25:45,American Horror Story,5
10,5449324,5406333,2,2017-07-17 15:14:50,2018-04-17 23:25:45,American Horror Story,5
11,5449324,5435183,2,2017-07-17 15:14:50,2018-04-17 23:25:45,American Horror Story,5
12,5449324,5436323,2,2017-07-17 15:14:50,2018-04-17 23:25:45,American Horror Story,5
1,5449324,5553152,1,2019-05-19 20:51:45,2019-05-19 20:51:45,The Wakos,3
12,5449324,5630275,1,2018-11-17 18:20:15,2018-11-17 18:20:15,Titeuf,4
13,5449324,5630276,1,2018-11-17 18:20:01,2018-11-17 18:20:01,Titeuf,4
1,5449324,5663265,1,2018-04-17 23:32:29,2018-04-17 23:32:29,American Horror Story,6
2,5449324,5746824,1,2018-04-17 23:32:29,2018-04-17 23:32:29,American Horror Story,6
3,5449324,5746825,1,2018-04-17 23:32:29,2018-04-17 23:32:29,American Horror Story,6
4,5449324,5746835,1,2018-04-17 23:32:29,2018-04-17 23:32:29,American Horror Story,6
5,5449324,5746836,1,2018-04-17 23:32:29,2018-04-17 23:32:29,American Horror Story,6
6,5449324,5746837,1,2018-04-17 23:32:29,2018-04-17 23:32:29,American Horror Story,6
7,5449324,5746838,1,2018-04-17 23:32:29,2018-04-17 23:32:29,American Horror Story,6
8,5449324,5746839,1,2018-04-17 23:32:29,2018-04-17 23:32:29,American Horror Story,6
9,5449324,5746840,1,2018-04-17 23:32:29,2018-04-17 23:32:29,American Horror Story,6
10,5449324,5746841,1,2018-04-17 23:32:29,2018-04-17 23:32:29,American Horror Story,6
4,5449324,6179924,1,2019-03-09 12:08:04,2019-03-09 12:08:04,Room 104,1
1,5449324,6243182,1,2017-08-08 18:55:01,2017-08-08 18:55:01,The Bar Mitzvah,1
2,5449324,6243186,1,2017-08-08 20:21:47,2017-08-08 20:21:47,The Bar Mitzvah,1
3,5449324,6243191,1,2017-08-09 09:54:34,2017-08-09 09:54:34,The Bar Mitzvah,1
1,5449324,6387032,1,2020-06-16 04:02:00,2020-06-16 04:02:00,Paris etc.,1
2,5449324,6461783,1,2019-03-31 20:51:14,2019-03-31 20:51:14,You,1
3,5449324,6461784,1,2019-03-31 20:51:15,2019-03-31 20:51:15,You,1
4,5449324,6461785,1,2019-03-31 20:51:16,2019-03-31 20:51:16,You,1
5,5449324,6461786,1,2019-03-31 20:51:17,2019-03-31 20:51:17,You,1
6,5449324,6461787,1,2019-03-31 20:51:19,2019-03-31 20:51:19,You,1
7,5449324,6461788,1,2020-01-04 19:47:45,2020-01-04 19:47:45,You,1
8,5449324,6461789,1,2020-01-04 19:47:47,2020-01-04 19:47:47,You,1
9,5449324,6461791,1,2020-01-04 19:47:48,2020-01-04 19:47:48,You,1
1,5449324,6499743,1,2019-04-25 21:05:20,2019-04-25 21:05:20,Killing Eve,1
1,5449324,6511712,2,2022-04-15 19:04:26,2022-05-13 18:52:18,Welcome to the Family (2018),1
2,5449324,6517924,1,2022-05-13 18:52:21,2022-05-13 18:52:21,Welcome to the Family (2018),1
1,5449324,6524674,1,2023-01-22 19:13:12,2023-01-22 19:13:12,Skam France,1
2,5449324,6533375,1,2023-01-22 19:13:12,2023-01-22 19:13:12,Skam France,1
3,5449324,6533382,1,2023-01-22 19:13:12,2023-01-22 19:13:12,Skam France,1
4,5449324,6533383,1,2023-01-22 19:13:12,2023-01-22 19:13:12,Skam France,1
5,5449324,6533384,1,2023-01-22 19:13:12,2023-01-22 19:13:12,Skam France,1
6,5449324,6533385,1,2023-01-22 19:13:12,2023-01-22 19:13:12,Skam France,1
7,5449324,6533386,1,2023-01-22 19:13:12,2023-01-22 19:13:12,Skam France,1
8,5449324,6533387,1,2023-01-22 19:13:12,2023-01-22 19:13:12,Skam France,1
9,5449324,6533388,1,2023-01-22 19:13:12,2023-01-22 19:13:12,Skam France,1
1,5449324,6603588,1,2018-10-24 19:09:13,2018-10-24 19:09:13,Skam Germany,1
2,5449324,6605785,1,2019-07-17 21:42:03,2019-07-17 21:42:03,You Me Her,3
3,5449324,6605786,1,2019-07-17 21:42:05,2019-07-17 21:42:05,You Me Her,3
4,5449324,6605788,1,2019-07-17 21:42:13,2019-07-17 21:42:13,You Me Her,3
5,5449324,6605789,1,2019-07-17 21:42:19,2019-07-17 21:42:19,You Me Her,3
6,5449324,6605792,1,2019-07-17 21:42:27,2019-07-17 21:42:27,You Me Her,3
7,5449324,6605794,1,2019-07-17 22:50:38,2019-07-17 22:50:38,You Me Her,3
8,5449324,6605795,1,2019-07-17 22:50:42,2019-07-17 22:50:42,You Me Her,3
9,5449324,6605796,1,2019-07-17 22:50:46,2019-07-17 22:50:46,You Me Her,3
10,5449324,6605797,1,2019-07-17 22:50:50,2019-07-17 22:50:50,You Me Her,3
10,5449324,6609867,1,2020-01-04 19:47:50,2020-01-04 19:47:50,You,1
1,5449324,6623548,1,2019-12-29 10:57:59,2019-12-29 10:57:59,The Haunting,1
1,5449324,6625641,2,2023-01-23 00:27:38,2023-01-27 20:09:53,Skam France,2
2,5449324,6646538,2,2023-01-23 00:27:41,2023-01-27 20:09:53,Skam France,2
3,5449324,6651929,1,2023-01-27 20:09:53,2023-01-27 20:09:53,Skam France,2
4,5449324,6657607,1,2023-01-27 20:09:53,2023-01-27 20:09:53,Skam France,2
5,5449324,6657611,1,2023-01-27 20:09:53,2023-01-27 20:09:53,Skam France,2
6,5449324,6657613,1,2023-01-27 20:09:53,2023-01-27 20:09:53,Skam France,2
7,5449324,6657614,1,2023-01-27 20:09:53,2023-01-27 20:09:53,Skam France,2
8,5449324,6657616,1,2023-01-27 20:09:53,2023-01-27 20:09:53,Skam France,2
9,5449324,6657618,1,2023-01-27 20:09:53,2023-01-27 20:09:53,Skam France,2
10,5449324,6657620,1,2023-01-27 20:09:53,2023-01-27 20:09:53,Skam France,2
11,5449324,6657622,1,2023-01-27 20:09:53,2023-01-27 20:09:53,Skam France,2
12,5449324,6657624,1,2023-01-27 20:09:53,2023-01-27 20:09:53,Skam France,2
13,5449324,6657626,1,2023-01-27 20:09:53,2023-01-27 20:09:53,Skam France,2
9,5449324,6745823,1,2023-01-31 10:26:22,2023-01-31 10:26:22,Skam France,3
1,5449324,6785489,1,2020-06-21 12:45:42,2020-06-21 12:45:42,Dirty John,1
2,5449324,6785502,1,2020-06-21 12:45:43,2020-06-21 12:45:43,Dirty John,1
3,5449324,6785504,1,2020-06-21 12:45:44,2020-06-21 12:45:44,Dirty John,1
1,5449324,6802870,1,2018-11-17 21:02:18,2018-11-17 21:02:18,Skam Spain,1
1,5449324,6821139,1,2019-03-27 19:05:28,2019-03-27 19:05:28,You,1
1,5449324,6983885,1,2023-01-31 10:26:22,2023-01-31 10:26:22,Skam France,3
1,5449324,6994805,1,2019-07-17 22:50:54,2019-07-17 22:50:54,You Me Her,4
2,5449324,6998836,1,2023-01-31 10:26:22,2023-01-31 10:26:22,Skam France,3
3,5449324,6998838,1,2023-01-31 10:26:22,2023-01-31 10:26:22,Skam France,3
4,5449324,6998839,1,2023-01-31 10:26:22,2023-01-31 10:26:22,Skam France,3
5,5449324,6998842,1,2023-01-31 10:26:22,2023-01-31 10:26:22,Skam France,3
6,5449324,6998843,1,2023-01-31 10:26:22,2023-01-31 10:26:22,Skam France,3
7,5449324,6998845,1,2023-01-31 10:26:22,2023-01-31 10:26:22,Skam France,3
8,5449324,6998847,1,2023-01-31 10:26:22,2023-01-31 10:26:22,Skam France,3
10,5449324,7015887,1,2023-01-31 10:26:22,2023-01-31 10:26:22,Skam France,3
1,5449324,7025339,1,2019-08-11 02:51:36,2019-08-11 02:51:36,Osmosis (2019),1
3,5449324,7044926,1,2019-12-31 14:27:51,2019-12-31 14:27:51,Jane the Virgin,5
1,5449324,7059062,2,2022-01-10 04:22:14,2023-07-22 01:41:00,Euphoria (US),1
2,5449324,7093852,1,2019-07-17 22:50:58,2019-07-17 22:50:58,You Me Her,4
1,5449324,7099132,1,2023-02-11 20:26:07,2023-02-11 20:26:07,Skam France,4
2,5449324,7110454,1,2023-02-11 20:26:07,2023-02-11 20:26:07,Skam France,4
1,5449324,7115181,2,2020-05-10 17:52:15,2020-05-10 17:52:19,Dead to Me,1
3,5449324,7124475,1,2023-02-11 20:26:07,2023-02-11 20:26:07,Skam France,4
4,5449324,7139420,1,2023-02-11 20:26:07,2023-02-11 20:26:07,Skam France,4
5,5449324,7149196,1,2023-02-11 20:26:07,2023-02-11 20:26:07,Skam France,4
6,5449324,7157258,1,2023-02-11 20:26:07,2023-02-11 20:26:07,Skam France,4
7,5449324,7165612,1,2023-02-11 20:26:07,2023-02-11 20:26:07,Skam France,4
8,5449324,7176732,1,2023-02-11 20:26:07,2023-02-11 20:26:07,Skam France,4
1,5449324,7186906,1,2020-07-04 18:11:30,2020-07-04 18:11:30,Rick and Morty,4
2,5449324,7191323,2,2022-01-10 06:12:39,2023-07-22 05:21:25,Euphoria (US),1
3,5449324,7191325,2,2022-01-10 07:37:45,2023-07-22 05:21:29,Euphoria (US),1
4,5449324,7191328,2,2022-01-10 07:37:47,2023-07-23 06:26:35,Euphoria (US),1
5,5449324,7194971,2,2022-01-10 09:02:30,2023-07-23 06:26:41,Euphoria (US),1
6,5449324,7194979,2,2022-01-10 10:42:41,2023-07-23 06:26:39,Euphoria (US),1
9,5449324,7198173,1,2023-02-11 20:26:07,2023-02-11 20:26:07,Skam France,4
1,5449324,7199996,1,2019-07-02 20:05:05,2019-07-02 20:05:05,Family Business (2019),1
2,5449324,7199999,1,2019-07-02 20:05:07,2019-07-02 20:05:07,Family Business (2019),1
3,5449324,7200001,1,2019-07-02 21:06:50,2019-07-02 21:06:50,Family Business (2019),1
4,5449324,7200003,1,2019-07-02 21:06:55,2019-07-02 21:06:55,Family Business (2019),1
5,5449324,7200005,1,2019-07-02 21:35:56,2019-07-02 21:35:56,Family Business (2019),1
6,5449324,7200007,1,2019-07-02 22:02:34,2019-07-02 22:02:34,Family Business (2019),1
10,5449324,7209370,1,2023-02-11 20:26:07,2023-02-11 20:26:07,Skam France,4
2,5449324,7211183,1,2019-06-16 19:13:56,2019-06-16 19:13:56,Trinkets,1
3,5449324,7211185,1,2019-06-16 19:13:58,2019-06-16 19:13:58,Trinkets,1
4,5449324,7211187,1,2019-06-16 19:13:59,2019-06-16 19:13:59,Trinkets,1
5,5449324,7211188,1,2019-06-16 19:14:01,2019-06-16 19:14:01,Trinkets,1
6,5449324,7211189,1,2019-06-16 19:36:19,2019-06-16 19:36:19,Trinkets,1
1,5449324,7234836,1,2019-06-16 17:40:46,2019-06-16 17:40:46,Trinkets,1
8,5449324,7241233,2,2022-01-10 12:11:34,2023-07-23 06:26:47,Euphoria (US),1
1,5449324,7250065,1,2020-05-03 00:55:31,2020-05-03 00:55:31,American Horror Story,9
7,5449324,7298128,2,2022-01-10 10:42:42,2023-07-23 06:26:45,Euphoria (US),1
1,5449324,7306300,2,2022-06-12 22:28:32,2022-06-13 01:25:14,13 Reasons Why,3
2,5449324,7309507,1,2020-05-03 01:34:46,2020-05-03 01:34:46,American Horror Story,9
2,5449324,7328134,2,2022-06-12 22:28:47,2022-06-13 01:25:15,13 Reasons Why,3
3,5449324,7328135,1,2022-06-13 01:25:17,2022-06-13 01:25:17,13 Reasons Why,3
4,5449324,7328138,1,2022-06-13 01:25:18,2022-06-13 01:25:18,13 Reasons Why,3
1,5449324,7358146,1,2023-02-11 20:26:09,2023-02-11 20:26:09,Skam France,5
1,5449324,7358149,1,2023-03-25 12:36:02,2023-03-25 12:36:02,Skam France,6
1,5449324,7422261,2,2021-07-14 08:54:11,2021-11-26 21:10:54,Pokémon,19
2,5449324,7434456,1,2021-07-25 15:30:45,2021-07-25 15:30:45,Pokémon,19
1,5449324,7446892,1,2020-01-04 19:47:55,2020-01-04 19:47:55,You,2
2,5449324,7447653,1,2020-01-04 23:38:47,2020-01-04 23:38:47,You,2
3,5449324,7447661,1,2020-01-04 23:38:50,2020-01-04 23:38:50,You,2
