created_at,updated_at,report_type,id,user_id,reported_user_id
2017-05-08 17:00:38,2017-05-08 17:00:38,fake-account,14285,5449324,3544513
2019-07-18 22:10:21,2019-07-18 22:10:21,fake-account,34901,5449324,22452924
2019-07-20 02:45:58,2019-07-20 02:45:58,cheater,34935,5449324,6224820
