episode_id,created_at,updated_at,tv_show_name,user_id,tv_show_id
4695966,2016-09-07 19:48:52,2016-09-07 19:48:52,Hostages (US),5449324,269642
4864452,2017-06-20 00:51:47,2017-06-20 00:51:47,Andy Raconte,5449324,273242
5079909,2017-06-03 20:18:33,2017-06-03 20:18:33,Connasse,5449324,273354
4665951,2016-05-16 16:56:25,2016-05-16 16:56:25,Victoire Bonnot,5449324,273527
4675624,2016-08-25 14:16:09,2016-08-25 14:16:09,Pokémon: Origins,5449324,273616
6644528,2018-04-12 09:29:47,2018-04-12 09:29:47,Studio Bagel,5449324,274237
5001058,2024-10-05 23:57:07,2024-10-14 11:38:36,Gotham,5449324,274431
5598482,2017-05-08 23:08:10,2017-05-08 23:08:10,Salem,5449324,274897
7186906,2019-11-26 21:16:32,2019-11-26 21:16:32,Rick and Morty,5449324,275274
4739491,2016-04-06 18:37:44,2016-04-06 18:37:44,From Dusk Till Dawn: The Series,5449324,276312
5002150,2017-09-29 22:09:33,2017-09-29 22:09:33,Faking It (2014),5449324,277169
9173960,2022-05-22 18:56:45,2022-05-22 18:56:45,The Wakos,5449324,277455
4817560,2016-07-28 00:58:03,2016-07-28 00:58:03,Rosie (2011),5449324,279215
6165924,2017-07-17 20:38:26,2017-07-17 20:38:26,Squeezie,5449324,279758
5560087,2016-10-10 05:29:59,2016-10-10 05:29:59,iZombie,5449324,281470
5146755,2016-07-23 01:03:53,2016-07-23 01:03:53,Forever (2014),5449324,281535
7712962,2020-05-18 00:55:20,2020-05-18 00:55:20,Unbreakable Kimmy Schmidt,5449324,281593
7044984,2020-01-07 00:21:37,2020-01-07 00:21:37,Jane the Virgin,5449324,281621
6645085,2018-06-19 11:54:24,2018-06-19 11:54:24,The Last Man on Earth,5449324,281622
6297741,2018-02-19 22:50:38,2018-02-19 22:50:38,BoJack Horseman,5449324,282254
6462765,2018-02-10 22:51:34,2018-02-10 22:51:34,Grace and Frankie,5449324,282562
5292344,2017-06-12 11:56:00,2017-06-12 11:56:00,Narcos,5449324,282670
4947767,2016-01-17 00:53:59,2016-01-17 00:53:59,The Returned (US),5449324,283317
5469934,2016-10-08 14:12:30,2016-10-08 14:12:30,Assassination Classroom,5449324,283947
7211050,2019-07-19 21:59:33,2019-07-19 21:59:33,Marvel's Jessica Jones,5449324,284190
4997840,2016-08-22 17:49:16,2016-08-22 17:49:16,Lovesick,5449324,286126
5003088,2017-11-09 22:24:40,2017-11-09 22:24:40,Carmilla,5449324,286357
6166559,2018-07-13 12:24:07,2018-07-13 12:24:07,Making A Scene With James Franco,5449324,286891
5064004,2016-03-28 15:42:42,2016-03-28 15:42:42,All Hail King Julien,5449324,288926
6485782,2018-03-25 13:38:44,2018-03-25 13:38:44,American Crime Story,5449324,289108
5240617,2020-01-04 01:50:06,2020-01-04 01:50:06,Mr. Robot,5449324,289590
5219638,2016-12-05 21:00:08,2016-12-05 21:00:08,The Adventures of Puss in Boots,5449324,290174
5093568,2016-02-08 20:21:07,2016-02-08 20:21:07,Paris (2015),5449324,290268
