emotion_id,count,created_at,updated_at,tv_show_name,tv_show_id,user_id
3,1,2025-09-04 11:07:52,2025-09-04 11:07:52,Monster (2022),389492,5449324
1,1,2022-06-16 21:41:43,2022-06-16 21:41:47,Rhythm + Flow France,390403,5449324
6,0,2022-06-16 21:41:41,2022-06-16 21:41:44,Rhythm + Flow France,390403,5449324
8,1,2022-06-16 21:41:50,2022-06-16 21:41:50,Rhythm + Flow France,390403,5449324
1,1,2022-06-16 16:58:12,2022-06-16 20:48:14,Maldivas,391367,5449324
3,3,2022-06-16 16:58:11,2022-06-16 16:58:20,Maldivas,391367,5449324
1,1,2021-08-29 16:12:23,2021-08-29 16:12:29,Mr. Corman,393156,5449324
3,0,2021-08-29 16:12:21,2021-08-29 16:12:23,Mr. Corman,393156,5449324
6,2,2021-08-29 16:12:27,2021-08-29 16:12:58,Mr. Corman,393156,5449324
7,2,2021-08-29 16:12:30,2021-08-29 16:13:03,Mr. Corman,393156,5449324
8,1,2021-08-29 16:12:27,2021-08-29 16:12:27,Mr. Corman,393156,5449324
3,1,2021-11-23 23:26:42,2021-11-23 23:26:42,Tear Along the Dotted Line,394680,5449324
3,1,2021-11-04 18:28:12,2021-11-04 18:28:12,Dr. Brain,396362,5449324
6,1,2021-11-20 21:36:14,2021-11-20 21:36:14,Dr. Brain,396362,5449324
8,1,2021-11-20 21:36:16,2021-11-20 21:36:16,Dr. Brain,396362,5449324
3,1,2022-07-26 22:00:28,2022-07-26 22:00:28,"Boo, Bitch",396374,5449324
3,3,2021-11-20 04:49:46,2021-11-20 05:51:04,Christmas Flow,398369,5449324
1,2,2022-06-17 15:15:12,2022-08-24 04:34:49,Only Murders in the Building,399959,5449324
3,2,2021-08-31 09:25:30,2022-06-17 16:35:30,Only Murders in the Building,399959,5449324
6,1,2022-08-05 09:38:09,2022-08-05 09:38:09,Only Murders in the Building,399959,5449324
8,2,2022-06-17 15:15:12,2022-06-17 15:15:16,Only Murders in the Building,399959,5449324
3,8,2021-05-01 15:15:50,2021-05-01 15:16:14,Sex!fy,399966,5449324
1,4,2022-08-04 01:24:17,2022-08-04 01:24:31,Open Your Eyes,400424,5449324
3,0,2022-08-04 01:24:28,2022-08-04 01:24:31,Open Your Eyes,400424,5449324
8,2,2022-08-04 01:24:19,2022-08-04 01:24:27,Open Your Eyes,400424,5449324
6,0,2022-06-04 23:26:42,2022-06-04 23:26:53,Insiders (2021),401154,5449324
7,3,2022-06-04 23:24:34,2022-06-04 23:24:41,Insiders (2021),401154,5449324
1,1,2021-11-19 22:45:08,2021-11-19 22:45:08,Love Never Lies,401155,5449324
