tv_show_name,user_id,tv_show_id,is_followed,is_favorited,nb_episodes_seen
Tupu,5449324,267945,0,0,0
Ravenswood,5449324,268126,0,0,0
Sense8,5449324,268156,1,1,24
The 100,5449324,268592,0,0,0
The Jungle Bunch,5449324,268773,0,0,1
Turbo FAST,5449324,268855,0,0,0
Reign (2013),5449324,269602,1,0,3
Hostages (US),5449324,269642,1,0,15
Peaky Blinders,5449324,270915,0,0,0
Side Effects,5449324,272069,0,0,0
The Tutorials,5449324,272734,0,0,42
Better Call Saul,5449324,273181,0,0,0
Andy Raconte,5449324,273242,0,0,22
Connasse,5449324,273354,0,0,71
Victoire Bonnot,5449324,273527,1,0,6
Pokémon: Origins,5449324,273616,1,0,4
Studio Bagel,5449324,274237,0,0,152
Looking,5449324,274337,1,0,0
Gotham,5449324,274431,1,0,4
Nowhere Boys,5449324,274874,0,0,0
Salem,5449324,274897,1,0,36
Side Effects (2013),5449324,275010,0,0,0
Rick and Morty,5449324,275274,1,0,32
From Dusk Till Dawn: The Series,5449324,276312,0,0,1
Silicon Valley,5449324,277165,0,0,0
Faking It (2014),5449324,277169,1,0,18
The Wakos,5449324,277455,0,0,162
,5449324,277550,0,0,0
G&T,5449324,278128,0,0,0
Rosie (2011),5449324,279215,0,0,5
Squeezie,5449324,279758,0,0,3
Terror in Resonance,5449324,279986,0,0,0
Younger,5449324,280706,0,0,0
iZombie,5449324,281470,1,0,32
,5449324,281486,0,0,0
Forever (2014),5449324,281535,1,0,22
Unbreakable Kimmy Schmidt,5449324,281593,1,0,52
Fresh Off the Boat,5449324,281618,0,0,0
Jane the Virgin,5449324,281621,1,0,100
The Last Man on Earth,5449324,281622,1,0,67
Over the Garden Wall,5449324,281643,0,0,0
Marvel's Daredevil,5449324,281662,0,0,0
BoJack Horseman,5449324,282254,1,0,49
Grace and Frankie,5449324,282562,1,0,52
Narcos,5449324,282670,1,0,4
Simba: The King Lion,5449324,282958,0,0,0
The Returned (US),5449324,283317,1,0,1
Assassination Classroom,5449324,283947,1,0,47
Pokémon: The 'Bridged Series,5449324,283973,0,0,0
Marvel's Jessica Jones,5449324,284190,1,0,38
Lovesick,5449324,286126,1,0,1
Carmilla,5449324,286357,0,0,1
Making A Scene With James Franco,5449324,286891,1,0,30
F is for Family,5449324,287299,0,0,0
All Hail King Julien,5449324,288926,1,0,1
American Crime Story,5449324,289108,1,0,19
Mr. Robot,5449324,289590,1,0,10
Catastrophe (2015),5449324,289771,0,0,0
Banana,5449324,289798,0,0,0
The Adventures of Puss in Boots,5449324,290174,1,0,7
Paris (2015),5449324,290268,1,0,6
Cucumber,5449324,290623,0,0,1
Le Chalet,5449324,290736,0,0,0
Tofu,5449324,290819,0,0,0
Stitchers,5449324,292745,0,0,0
Between,5449324,293194,1,0,12
Scream Queens,5449324,293302,1,0,23
Euh,5449324,294373,0,0,0
Scream: The TV Series,5449324,294417,1,0,29
The Bureau,5449324,294564,0,0,0
Trollz,5449324,294729,1,0,1
Lucifer,5449324,295685,1,0,2
Hjørdis,5449324,295727,1,0,4
Crazy Ex-Girlfriend,5449324,295777,1,0,7
Shadowhunters,5449324,295837,1,0,15
Glitch (2015),5449324,296550,1,0,7
Westworld,5449324,296762,1,0,20
Stupid Questions,5449324,296967,0,0,20
Master of None,5449324,298901,0,0,0
The Magicians (2015),5449324,299139,1,0,1
Project Mc²,5449324,299260,1,0,26
Marseille,5449324,299825,0,0,0
You'll Die Less Stupid,5449324,299856,1,0,1
A Very Secret Service,5449324,299857,0,0,0
Call My Agent!,5449324,300247,1,0,22
Merlí,5449324,300428,1,0,0
Preacher,5449324,300472,1,0,0
Elise's Secret,5449324,300699,1,0,6
Teachers (2016),5449324,300714,0,0,0
The Get Down,5449324,300886,0,0,0
Chewing Gum,5449324,301562,1,0,12
Le Woop,5449324,302102,0,0,1
Miraculous: Tales of Ladybug & Cat Noir,5449324,302218,1,0,2
Making a Murderer,5449324,303210,0,0,0
Skam,5449324,303786,1,1,48
Those Who Can't,5449324,303884,0,0,0
Marvel's Luke Cage,5449324,304219,0,0,1
Wanted (2016),5449324,304591,0,0,12
My Hero Academia,5449324,305074,1,0,9
Slasher,5449324,305194,1,0,24
Stranger Things,5449324,305288,1,0,18
