tv_show_name,user_id,tv_show_id,is_followed,is_favorited,nb_episodes_seen
The Great,5449324,369301,0,0,0
Soundtrack,5449324,369486,0,0,0
Ghostwriter (2019),5449324,369490,1,0,13
The Circle France,5449324,369955,1,0,12
Nailed It! France,5449324,370082,1,0,6
Nailed It! Spain,5449324,370083,0,0,0
War of the Worlds (2019),5449324,370139,1,0,1
The Mosquito Coast,5449324,370360,1,0,1
My Glory Was I Had Such Friends,5449324,370361,1,0,0
Masters of the Air,5449324,370853,0,0,0
Burning Love (FR),5449324,371079,1,0,18
Made For Love,5449324,371158,0,0,0
Mortel,5449324,371258,1,0,12
I May Destroy You,5449324,371798,1,0,6
Normal People,5449324,371806,1,0,7
Dash & Lily,5449324,371940,1,0,3
Inventing Anna,5449324,371944,1,0,1
Dare Me,5449324,371978,0,0,0
Severance,5449324,371980,1,0,19
Brand New Cherry Flavor,5449324,372316,0,0,0
Who Killed Little Gregory?,5449324,372342,0,0,0
Don't F**k with Cats: Hunting an Internet Killer,5449324,372566,1,0,3
"Sex, Explained",5449324,374117,0,0,0
Self Made: Inspired By The Life Of Madam C.J. Walker,5449324,374818,1,0,0
The Stranger,5449324,374977,1,0,1
Hollywood (2020),5449324,375503,0,0,0
Landscapers,5449324,375516,1,0,1
True Story With,5449324,375575,1,0,3
He Even Has Your Eyes,5449324,375660,0,0,0
Solar Opposites,5449324,375892,0,0,0
Trying,5449324,375903,1,0,24
Lupin,5449324,375921,1,0,10
I Am Not Okay With This,5449324,375998,1,0,7
Alice in Borderland (2020),5449324,376472,1,0,22
Gossip Girl (2021),5449324,377114,1,0,0
Vampires (2020),5449324,377240,1,0,7
Feel Good,5449324,377294,0,0,0
Losing Alice,5449324,377682,1,0,0
Bloodride,5449324,377784,0,0,0
Big Sky (2020),5449324,378023,0,0,0
Summertime,5449324,378389,0,0,0
The Midnight Gospel,5449324,378553,1,0,1
Never Have I Ever,5449324,378746,1,0,33
#blackAF,5449324,378773,0,0,0
Love 101,5449324,378872,0,0,0
It's a Sin,5449324,378994,1,0,5
Valeria (2020),5449324,379841,0,0,0
Too Hot to Handle,5449324,379962,1,0,51
One of Us Is Lying,5449324,380210,1,0,8
Control Z,5449324,380850,1,0,3
Behind Her Eyes,5449324,380991,1,0,6
Genera+ion,5449324,381493,1,0,16
The Midnight Club,5449324,381909,1,0,0
American Horror Stories,5449324,382187,1,0,24
Mixte,5449324,382571,1,0,8
Ted Lasso,5449324,383203,0,0,0
Squid Game,5449324,383275,1,0,14
,5449324,383784,1,0,10
The Afterparty,5449324,384495,1,0,18
Conversations with Friends,5449324,384554,0,0,0
3615 Monique,5449324,385371,1,0,26
Teenage Bounty Hunters,5449324,385713,1,0,1
Alba,5449324,386859,0,0,0
The One (2021),5449324,387054,1,0,8
The Queen's Gambit,5449324,387115,1,0,7
Love & Anarchy,5449324,387697,0,0,0
High Desert,5449324,388891,0,0,0
Monster (2022),5449324,389492,1,0,23
The Sex Lives of College Girls,5449324,390161,0,0,0
First Kill,5449324,390191,0,0,0
Rhythm + Flow France,5449324,390403,1,0,1
The White Lotus,5449324,390430,1,0,18
The Invisibles (2021),5449324,390488,0,0,0
The Woman in the House Across the Street from the Girl in the Window,5449324,390537,0,0,0
Platonic (2023),5449324,391020,0,0,0
Maldivas,5449324,391367,1,0,7
Dirty Lines,5449324,391440,1,0,1
Welcome to Eden,5449324,393110,1,0,8
Extrapolations,5449324,393148,0,0,0
Schmigadoon!,5449324,393154,0,0,0
Acapulco (2021),5449324,393155,0,0,0
Mr. Corman,5449324,393156,1,0,6
Night Stalker: The Hunt for a Serial Killer,5449324,393452,0,0,0
WeCrashed,5449324,393499,0,0,0
Ginny & Georgia,5449324,393625,0,0,0
Tear Along the Dotted Line,5449324,394680,1,0,5
Heartstopper,5449324,395494,1,0,24
Why Are You Like This?,5449324,395904,0,0,0
Heartbreak High (2022),5449324,396115,1,0,24
Physical,5449324,396346,1,0,1
Dr. Brain,5449324,396362,1,0,0
"Boo, Bitch",5449324,396374,1,0,8
,5449324,396458,0,0,1
The Summer I Turned Pretty,5449324,396505,1,0,7
Back to 15,5449324,396694,0,0,0
Wednesday,5449324,397060,1,0,23
Christmas Flow,5449324,398369,1,0,0
"Miskina, Poor Thing",5449324,399625,1,0,2
Young Royals,5449324,399833,1,0,18
Only Murders in the Building,5449324,399959,1,0,28
Sex!fy,5449324,399966,1,0,8
LOL: Last One Laughing - France,5449324,400292,1,0,31
Open Your Eyes,5449324,400424,1,0,6
Asterix & Obelix: The Big Fight,5449324,400716,1,0,6
The Crowded Room,5449324,400723,0,0,0
Insiders (2021),5449324,401154,1,0,10
Love Never Lies,5449324,401155,0,0,2
Dead End: Paranormal Park,5449324,401726,0,0,0
Hello Tomorrow!,5449324,402320,0,0,0
Uncoupled,5449324,402799,1,0,2
Generation 56k,5449324,403584,1,0,8
The Big Door Prize,5449324,403752,1,0,15
Liaison,5449324,405526,0,0,0
DROP (2021),5449324,405555,1,0,3
The Idol (2023),5449324,405882,1,0,1
AlRawabi School for Girls,5449324,407227,1,0,15
Luna Park,5449324,409055,0,0,0
Standing Up (2022),5449324,409461,1,0,6
Guillermo del Toro's Cabinet of Curiosities,5449324,409559,0,0,0
An Astrological Guide for Broken Hearts,5449324,410984,1,0,11
VTC,5449324,411312,1,0,1
Shrinking,5449324,411364,0,0,0
Dexter: New Blood,5449324,412366,1,0,0
Fraggle Rock: Back to the Rock,5449324,412536,1,0,1
Drag Race France,5449324,412594,1,0,25
Kitz,5449324,412716,0,0,0
Cunk on Earth,5449324,414217,1,0,5
The Girls at the Back,5449324,414280,1,0,6
Dear Edward,5449324,415585,0,0,0
Sunny,5449324,415975,0,0,0
Queen (2022),5449324,416054,1,0,4
My Only 12%,5449324,416784,1,0,1
Baby Reindeer,5449324,417223,1,0,7
The Residence,5449324,417552,0,0,0
Loot,5449324,417559,1,0,10
The 7 Lives of Lea,5449324,417943,1,0,7
Chair tendre,5449324,418015,1,0,10
Bad Sisters,5449324,418182,1,0,18
Chief of War,5449324,418633,1,0,1
Mask Girl,5449324,419370,1,0,1
DI4RIES,5449324,419523,1,0,14
Drag Race Belgium,5449324,419549,1,0,17
Endless Night,5449324,420180,1,0,6
A Very Ordinary World,5449324,420427,1,0,9
Smiley,5449324,420450,1,0,8
Fakes (2022),5449324,421142,1,0,13
The Most Hated Man on the Internet,5449324,421574,1,0,3
Off the Hook (2022),5449324,423062,1,0,10
Land of Women,5449324,423244,1,0,6
The Mole (2022),5449324,423581,0,0,6
Nina and the Pig,5449324,426516,1,0,8
The Apothecary Diaries,5449324,431162,1,0,12
DÉTER,5449324,431642,1,0,30
The Perfect Couple,5449324,432782,1,0,1
Wayward,5449324,433309,0,0,0
Boots,5449324,434473,1,0,8
Carême,5449324,436013,0,0,0
PLUR1BUS,5449324,436457,1,0,1
Everything Now,5449324,439232,1,0,8
Trash,5449324,440246,1,0,0
Trouble Mum,5449324,442049,1,0,10
Too Much,5449324,443261,1,0,1
Your Friends & Neighbors,5449324,443433,1,0,2
Nudes (FR),5449324,444090,1,0,10
Margo's Got Money Troubles,5449324,445651,1,0,0
Prime Target,5449324,446144,0,0,0
Wizards Beyond Waverly Place,5449324,447975,0,0,0
Don't Hate the Player,5449324,448191,1,0,9
The Confidante,5449324,450518,0,0,0
Worst Ex Ever,5449324,452357,0,0,0
Adolescence,5449324,452467,1,0,4
Loups garous,5449324,454234,1,0,19
A Night to Live,5449324,454966,1,0,8
The Beauty,5449324,455046,1,0,11
Dans de beaux draps,5449324,455644,1,0,6
Drag Race France: All Stars,5449324,456956,1,0,8
Shafted,5449324,457485,1,0,6
Cash Queens,5449324,457486,1,0,8
Le monde magique de Jérôme Commandeur,5449324,457623,1,0,4
Malcolm in the Middle: Life's Still Unfair,5449324,457779,1,0,0
Love You to Death (2025),5449324,457817,0,0,0
The Testaments,5449324,460241,1,0,0
Heated Rivalry,5449324,464461,1,0,6
Ricky Gervais' Alley Cats,5449324,468023,1,0,0
The Laura Stern Case,5449324,468430,1,0,4
La Bataille : La Malédiction de L'île,5449324,470251,0,0,0
La Bataille : La Malédiction de l’Île,5449324,470254,1,0,1
LOL : In Real Life,5449324,470703,1,0,4
Norman fait des vidéos,5449324,10000000,0,0,113
Cyprien,5449324,10000013,0,0,82
Les chroniques d'une fille ludique,5449324,10000022,0,0,0
10 minutes à perdre,5449324,10000030,0,0,21
Golden Moustache,5449324,10000042,0,0,5
