user_id,episode_id,created_at,updated_at,tv_show_name,episode_season_number,episode_number
5449324,11819932,2026-06-26 19:58:19,2026-06-26 19:58:19,Secret Story,14,1
5449324,11822523,2026-06-26 19:58:23,2026-06-26 19:58:23,Secret Story,14,2
5449324,11822524,2026-06-30 22:48:08,2026-06-30 22:48:08,Secret Story,14,3
5449324,11822525,2026-06-30 22:48:09,2026-06-30 22:48:09,Secret Story,14,4
