monthly_score,tv_show_name,user_id,tv_show_id,last_action_timestamp,daily_score,weekly_score
100,A Series of Unfortunate Events,5449324,306304,1546489065,100,100
70,Cooked,5449324,307176,1456144480,70,70
100,You Me Her,5449324,309130,1563456470,100,100
100,Sam (2016),5449324,309835,1516690919,100,100
100,,5449324,311269,1654485365,100,100
70,,5449324,311312,1498787671,70,70
100,The Good Place,5449324,311711,1655942163,100,100
100,Timeless (2016),5449324,311713,1479233938,100,100
100,This Is Us,5449324,311714,1496012395,100,100
100,The Exorcist,5449324,311816,1524264554,100,100
100,Marlon,5449324,311901,1531883138,100,100
80,Still Star-Crossed,5449324,311908,1496267022,80,80
100,Riverdale,5449324,311954,1558117110,100,100
100,Frequency,5449324,311958,1488843911,100,100
100,Dirk Gently's Holistic Detective Agency,5449324,312505,1530493134,100,100
100,Beautiful Loser,5449324,312515,1576990531,100,100
35,,5449324,312978,1475271858,35,35
100,Haters Back Off,5449324,313589,1508603956,100,100
100,Startup Heroes,5449324,314288,1495035562,100,100
100,High Maintenance (2016),5449324,314324,1555014861,100,100
100,,5449324,314427,1496577924,100,100
35,Naked Attraction,5449324,314821,1563764696,35,35
100,,5449324,315250,1523526622,100,100
100,,5449324,315991,1560495419,100,100
100,Grown Ups (2016),5449324,316176,1587948771,100,100
100,Pokémon Generations,5449324,316998,1482634338,100,100
100,The Deuce,5449324,317728,1551280207,100,100
100,Paquita Salas,5449324,317995,1654914795,100,100
100,Crazyhead,5449324,318000,1486568116,100,100
100,Little Witch Academia,5449324,318161,1503720755,100,100
100,One Day at a Time (2017),5449324,318363,1550410978,100,100
100,The Throne of Frogz,5449324,318432,1531792659,100,100
35,Great Greek Myths,5449324,318970,1674431369,35,35
35,La Loove,5449324,319222,1499034935,35,35
100,Lastman,5449324,319531,1608334144,100,100
100,,5449324,320344,1557518932,100,100
100,Santa Clarita Diet,5449324,320450,1554549637,100,100
100,Bapt & Gaël and the Adventures of the Cosmic Ball,5449324,320613,1531583308,100,100
100,The OA,5449324,321060,1557321046,100,100
100,The Handmaid's Tale,5449324,321239,1624396174,100,100
35,Prof T.,5449324,321746,1518728436,35,35
100,The Worst Witch (2017),5449324,321884,1565352891,100,100
100,Girlboss,5449324,322246,1492900790,100,100
100,,5449324,322332,1561893727,100,100
70,,5449324,322358,1532033889,70,70
100,Feud,5449324,322466,1521996422,100,100
100,Louis(e),5449324,322884,1488837680,100,100
100,13 Reasons Why,5449324,323168,1655239148,100,100
100,Cable Girls,5449324,323225,1542206265,100,100
100,Dear White People,5449324,323855,1526402185,100,100
100,GLOW,5449324,324835,1532313468,100,100
100,Kiss Me First,5449324,324916,1533825491,100,100
35,Marvel's The Defenders,5449324,326490,1509406602,35,35
100,,5449324,326815,1523221864,100,100
100,The Sinner,5449324,326866,1540059510,100,100
100,The Mist,5449324,326887,1503723277,100,100
100,Disjointed,5449324,327359,1518630740,100,100
100,Money Heist,5449324,327417,1656931760,100,100
35,White Gold,5449324,327600,1505386382,35,35
100,En fait,5449324,328068,1542321312,100,100
100,,5449324,328213,1543179513,100,100
100,Seb,5449324,328224,1498770255,100,100
100,Gypsy,5449324,328292,1499140094,100,100
100,Room 104,5449324,328308,1606256151,100,100
35,,5449324,328346,1530220239,35,35
100,Playground,5449324,328350,1502441633,100,100
100,Happy!,5449324,328361,1530712988,100,100
100,Tycoon (2017),5449324,328368,1503364327,100,100
100,Pillow Talk,5449324,328369,1509372605,100,100
100,Junior,5449324,328398,1498877448,100,100
100,Champions,5449324,328535,1531255721,100,100
70,The Gifted,5449324,328552,1507227361,70,70
100,Good Girls,5449324,328577,1659526187,100,100
100,The Good Doctor,5449324,328634,1546647061,100,100
100,Saving The Human Race,5449324,328661,1511558628,100,100
100,Dynasty (2017),5449324,328749,1560642750,100,100
35,,5449324,328844,1495480367,35,35
100,Friends from College,5449324,328972,1509495355,100,100
100,Pineapple,5449324,329058,1496702039,100,100
100,Ozark,5449324,329089,1506202523,100,100
100,You Got Trumped: The First 100 Days,5449324,329178,1503350247,100,100
70,Skinford,5449324,329312,1504508595,70,70
100,Duels,5449324,329536,1500388043,100,100
100,Alias Grace,5449324,329586,1518901082,100,100
35,,5449324,329655,1507938155,35,35
100,Exposed,5449324,329674,1503369501,100,100
100,Planet of the Apps,5449324,329718,1563163522,100,100
100,Virgin,5449324,329841,1497757496,100,100
35,,5449324,330082,1658584246,35,35
100,Icarus,5449324,330229,1503372561,100,100
100,Atypical,5449324,330374,1655939981,100,100
100,Presque adultes,5449324,330433,1511129603,100,100
35,Absentia,5449324,330500,1506877727,35,35
100,Calls,5449324,330525,1589677524,100,100
100,,5449324,330866,1502184554,100,100
100,Surrogate,5449324,330895,1503382556,100,100
100,Big Mouth,5449324,331431,1672000376,100,100
100,Epic Time Leap,5449324,331604,1532034986,100,100
100,Skal,5449324,331920,1501050809,100,100
100,Twiz & Tuck's Bucket List,5449324,331922,1503373072,100,100
100,Superhigh,5449324,331988,1508114801,100,100
35,,5449324,332272,1502927771,35,35
100,Future Sex,5449324,332279,1529719134,100,100
100,Everyone I Love Is Dead,5449324,332763,1503352552,100,100
100,American Vandal,5449324,332828,1539507397,100,100
100,SMILF,5449324,332898,1589081310,100,100
100,Carpool Karaoke: The Series,5449324,332954,1563160224,100,100
100,The Bar Mitzvah,5449324,332963,1502366357,100,100
100,Sons of God,5449324,333838,1503910400,100,100
35,Superstition,5449324,334003,1525212104,35,35
100,Lore,5449324,334147,1551036431,100,100
100,Samantha!,5449324,334543,1565487550,100,100
100,Neo Yokio,5449324,334670,1545668976,100,100
100,Dark,5449324,334824,1520811881,100,100
100,Mooom,5449324,335024,1507146945,100,100
100,Siren (2018),5449324,335982,1612789368,100,100
100,The End of the F***ing World,5449324,336522,1573435595,100,100
100,Re:Mind,5449324,336622,1518878279,100,100
100,You,5449324,336924,1746403161,100,100
100,Paris etc.,5449324,337171,1593899615,100,100
100,Creeped Out,5449324,337218,1539364235,100,100
100,Raising Hitler,5449324,337395,1532343667,100,100
100,9-1-1,5449324,337907,1563150423,100,100
100,gaelle garcia diaz,5449324,338301,1547033830,100,100
100,Chilling Adventures of Sabrina,5449324,338947,1647645874,100,100
100,On My Block,5449324,339273,1565486806,100,100
