updated_at,id,user_id,name,value,created_at
2017-04-17 15:04:30,696441,5449324,bio,,2016-01-17 17:09:35
2022-05-11 21:01:23,1714439,5449324,country-code,fr,2016-08-24 22:37:07
2021-12-13 22:33:11,15281599,5449324,cover,https://dg31sz3gwrwan.cloudfront.net/fanart/303786/62569778-7-q80.jpg,2021-08-09 14:40:44
