created_at,updated_at,tv_show_name,user_id,tv_show_id
2025-12-06 13:16:42,2025-12-06 13:16:42,Cardcaptor Sakura,5449324,70668
2025-12-06 13:14:49,2025-12-06 13:14:49,Rurouni Kenshin,5449324,70863
2025-01-09 22:59:55,2025-01-09 22:59:55,Teenage Mutant Ninja Turtles (2003),5449324,71032
2025-12-06 13:14:54,2025-12-06 13:14:54,Golden Boy,5449324,72408
2025-12-06 13:14:12,2025-12-06 13:14:12,Detective Conan,5449324,72454
2025-12-06 13:16:45,2025-12-06 13:16:45,Gargoyles,5449324,72885
2020-10-27 22:33:26,2020-10-27 22:33:26,American Dad!,5449324,73141
2019-05-08 13:33:08,2019-05-08 13:33:08,Grey's Anatomy,5449324,73762
2020-10-27 22:34:05,2020-10-27 22:34:05,Futurama,5449324,73871
2020-08-24 21:19:07,2020-08-24 21:19:07,Avatar: The Last Airbender,5449324,74852
2025-12-06 13:14:57,2025-12-06 13:14:57,Batman Beyond,5449324,75417
2025-01-09 22:59:51,2025-01-09 22:59:51,Fullmetal Alchemist,5449324,75579
2020-10-27 22:33:54,2020-10-27 22:33:54,SpongeBob SquarePants,5449324,75886
2024-01-03 18:30:13,2024-01-03 18:30:13,South Park,5449324,75897
2025-12-06 13:14:15,2025-12-06 13:14:15,Elfen Lied,5449324,75941
2025-12-06 13:22:20,2025-12-06 13:22:20,Ranma ½,5449324,76932
2022-06-04 23:49:59,2022-06-04 23:49:59,Tales of the City,5449324,77422
2020-10-27 22:38:43,2020-10-27 22:38:43,Totally Spies!,5449324,77625
2021-11-19 22:37:00,2021-11-19 22:37:00,Ghost Whisperer,5449324,78817
2025-12-06 13:14:29,2025-12-06 13:14:29,Hunter x Hunter,5449324,79076
2024-01-21 16:18:24,2024-01-21 16:18:24,Kaamelott,5449324,79175
2025-12-06 13:14:41,2025-12-06 13:14:41,Ergo Proxy,5449324,79228
2020-10-27 22:34:56,2020-10-27 22:34:56,Hannah Montana,5449324,79317
2025-12-06 13:14:36,2025-12-06 13:14:36,Foster's Home for Imaginary Friends,5449324,79323
2025-12-06 13:15:34,2025-12-06 13:15:34,Welcome to the N.H.K.,5449324,79415
2025-12-06 13:13:26,2025-12-06 13:13:26,Ouran High School Host Club,5449324,79713
2025-12-06 13:14:20,2025-12-06 13:14:20,The Familiar of Zero,5449324,79719
