user_id,source,content,updated_at,medium,campaign,id,platform,deeplink,created_at
5449324,notification-episode-will-air,,2018-02-24 03:53:31,,,13348577,ios,tvst://agenda,2018-02-24 03:53:31
5449324,notification-episode-will-air,,2018-03-07 06:00:23,,,13768405,ios,tvst://agenda,2018-03-07 06:00:23
5449324,notification-profile-commented,,2018-04-21 20:51:55,,,15549930,ios,tvst://conversation/12338003,2018-04-21 20:51:55
5449324,notification-episode-will-air,,2018-04-27 18:23:35,,,15839631,ios,tvst://agenda,2018-04-27 18:23:35
5449324,notification-user-followed-back,,2018-05-05 12:21:38,,,16174280,ios,tvst://user/5965267/detail,2018-05-05 12:21:38
5449324,notification-badge-unlocked,,2018-09-08 18:37:57,,,19863725,ios,tvst://user/5449324/badges?badge_id=330374-quick-watcher-15-bd,2018-09-08 18:37:57
5449324,notification-episode-will-air,,2018-10-02 06:49:06,,,20598363,ios,tvst://agenda,2018-10-02 06:49:06
5449324,notification-show-starts-again,,2018-10-04 15:57:18,,,20668526,ios,tvst://agenda,2018-10-04 15:57:18
5449324,notification-badge-unlocked,,2018-10-09 20:18:27,,,20908328,ios,tvst://user/5449324/badges?badge_id=345242-serial-emotioner-3-bd,2018-10-09 20:18:27
5449324,notification-show-starts-again,,2018-10-24 14:15:52,,,21557865,ios,tvst://agenda,2018-10-24 14:15:52
5449324,deeplink,,2018-10-24 19:05:38,,,21568314,ios,tvst:///show/303786/episode/5422382,2018-10-24 19:05:38
5449324,deeplink,,2018-10-27 00:17:56,,,21688459,ios,tvst:///show/341235/episode/6765502,2018-10-27 00:17:56
5449324,deeplink,,2018-11-01 18:17:05,,,21902246,ios,tvst://article/help-translate-tv-time-transifex,2018-11-01 18:17:05
5449324,notification-episode-will-air,,2018-11-08 12:07:15,,,22168269,ios,tvst://agenda,2018-11-08 12:07:15
5449324,notification-episode-will-air,,2018-11-12 05:00:31,,,22314448,ios,tvst://agenda,2018-11-12 05:00:31
5449324,notification-episode-will-air,,2018-11-18 21:32:41,,,22571143,ios,tvst://agenda,2018-11-18 21:32:41
5449324,notification-episode-will-air,,2018-11-25 12:13:48,,,22751481,ios,tvst://agenda,2018-11-25 12:13:48
5449324,notification-episode-will-air,,2018-12-03 02:03:03,,,23013401,ios,tvst://agenda,2018-12-03 02:03:03
5449324,notification-episode-will-air,,2018-12-10 20:06:59,,,23248475,ios,tvst://agenda,2018-12-10 20:06:59
5449324,notification-episode-will-air,,2018-12-11 22:01:40,,,23288230,ios,tvst://agenda,2018-12-11 22:01:40
5449324,deeplink,,2019-01-14 21:50:37,,,24136218,ios,tvst:///show/356317/episode/6927857,2019-01-14 21:50:37
5449324,notification-episode-will-air,,2019-02-02 21:45:48,,,24899928,ios,tvst://agenda,2019-02-02 21:45:48
5449324,notification-episode-will-air,,2019-02-26 05:29:46,,,25587831,ios,tvst://agenda,2019-02-26 05:29:46
5449324,notification-episode-will-air,,2019-03-04 19:34:11,,,25771286,ios,tvst://agenda,2019-03-04 19:34:11
5449324,notification-show-starts-again,,2019-03-07 16:57:56,,,25878252,ios,tvst://agenda,2019-03-07 16:57:56
5449324,notification-episode-will-air,,2019-03-15 17:03:27,,,26070835,ios,tvst://agenda,2019-03-15 17:03:27
5449324,notification-show-starts-again,,2019-04-07 14:55:06,,,26664513,ios,tvst://agenda,2019-04-07 14:55:06
5449324,deeplink,,2019-04-15 09:23:28,,,26915693,ios,tvst:///article/tip-of-the-week-how-to-follow,2019-04-15 09:23:28
5449324,deeplink,,2019-04-15 09:23:39,,,26915695,ios,tvst:///article/tip-of-the-week-how-to-follow,2019-04-15 09:23:39
5449324,notification-show-starts-again,,2019-04-18 17:12:20,,,27038090,ios,tvst://agenda,2019-04-18 17:12:20
5449324,notification-marketing-notification,,2019-04-26 18:47:26,,,27442103,ios,tvst://article/16739,2019-04-26 18:47:26
5449324,notification-episode-will-air,,2019-05-05 18:34:02,,,27903425,ios,tvst://agenda,2019-05-05 18:34:02
5449324,notification-marketing-notification,,2019-05-08 19:20:15,,,28097298,ios,tvst://article/16810,2019-05-08 19:20:15
5449324,notification-episode-will-air,,2019-05-10 17:48:08,,,28201980,ios,tvst://agenda,2019-05-10 17:48:08
5449324,notification-episode-will-air,,2019-05-16 01:29:39,,,28484323,ios,tvst://agenda,2019-05-16 01:29:39
5449324,notification-show-starts-again,,2019-05-22 14:00:43,,,28807892,ios,tvst://agenda,2019-05-22 14:00:43
5449324,deeplink,,2019-07-19 20:07:45,,,30328206,ios,tvst:///show/300247,2019-07-19 20:07:45
5449324,deeplink,,2019-08-16 11:24:02,,,30887201,ios,tvst://show/361549/episode/7198470,2019-08-16 11:24:02
5449324,deeplink,,2019-09-15 10:51:04,,,31526265,ios,tvst:///show/346836,2019-09-15 10:51:04
5449324,deeplink,,2019-09-17 22:40:32,,,31586218,ios,tvst:///show/347544/episode/6688779,2019-09-17 22:40:32
5449324,notification-episode-will-air,,2019-12-05 05:25:26,,,33568857,ios,tvst://agenda,2019-12-05 05:25:26
5449324,notification-episode-will-air,,2020-01-02 18:34:10,,,34084252,ios,tvst://agenda,2020-01-02 18:34:10
5449324,notification-show-starts-again,,2020-01-19 15:00:35,,,34497091,ios,tvst://agenda,2020-01-19 15:00:35
5449324,notification-episode-will-air,,2020-02-12 12:20:42,,,35103460,ios,tvst://agenda,2020-02-12 12:20:42
5449324,notification-episode-will-air,,2020-02-26 08:44:20,,,35432414,ios,tvst://agenda,2020-02-26 08:44:20
5449324,deeplink,,2020-04-26 22:37:42,,,36686828,ios,tvst://show/345479/episode/6631718,2020-04-26 22:37:42
5449324,deeplink,,2020-04-26 22:37:59,,,36686830,ios,tvst://show/369213,2020-04-26 22:37:59
5449324,deeplink,,2020-05-01 21:52:58,,,36786730,ios,tvst://user/5449324/profile,2020-05-01 21:52:58
5449324,notification-user-followed,,2020-05-30 16:13:50,,,37310455,ios,tvst://user/18631258/profile,2020-05-30 16:13:50
5449324,notification-show-starts-again,,2020-05-31 14:31:22,,,37323420,ios,tvst://shows/upcoming,2020-05-31 14:31:22
5449324,notification-episode-will-air,,2020-11-04 19:29:29,,,38835310,ios,tvst://shows/upcoming,2020-11-04 19:29:29
5449324,notification-episode-will-air,,2020-12-31 18:35:06,,,39360152,ios,tvst://shows/upcoming,2020-12-31 18:35:06
5449324,notification-show-starts-again,,2021-04-06 14:09:39,,,40587968,ios,tvst://shows/upcoming,2021-04-06 14:09:39
5449324,notification-show-starts-again,,2021-04-27 14:07:56,,,40899322,ios,tvst://shows/upcoming,2021-04-27 14:07:56
5449324,deeplink,,2021-08-08 15:33:23,,,42505738,ios,tvst://show/76703,2021-08-08 15:33:23
5449324,deeplink,,2021-08-08 15:33:27,,,42505740,ios,tvst://show/76703,2021-08-08 15:33:27
5449324,notification-show-starts-again,,2021-08-11 16:14:34,,,42552184,ios,tvst://shows/upcoming,2021-08-11 16:14:34
5449324,notification-episode-will-air,,2021-08-13 12:39:02,,,42589016,ios,tvst://shows/upcoming,2021-08-13 12:39:02
5449324,notification-episode-will-air,,2021-09-02 06:04:29,,,42887668,ios,tvst://shows/upcoming,2021-09-02 06:04:29
5449324,deeplink,,2021-11-21 06:24:41,,,44086583,ios,tvst://show/261016,2021-11-21 06:24:41
5449324,notification-episode-will-air,,2023-03-31 21:05:28,,,50644934,ios,tvst://shows/upcoming,2023-03-31 21:05:28
