updated_at,tv_show_name,episode_season_number,episode_number,user_id,episode_id,watched_on_source_id,created_at
2018-02-20 19:57:32,,1,0,5449324,5914656,1,2018-02-20 19:57:32
2018-02-20 19:57:35,,1,0,5449324,5914658,1,2018-02-20 19:57:35
2018-02-20 19:57:40,,1,0,5449324,5914659,1,2018-02-20 19:57:40
2018-02-20 19:57:38,,1,0,5449324,5914660,1,2018-02-20 19:57:38
2018-02-20 19:57:45,,1,0,5449324,5914661,1,2018-02-20 19:57:45
2018-02-20 19:58:06,,1,0,5449324,5914665,1,2018-02-20 19:58:06
2018-02-20 19:58:04,,1,0,5449324,5914666,1,2018-02-20 19:58:04
2018-02-20 19:58:01,,1,0,5449324,5914667,1,2018-02-20 19:58:01
2018-02-20 19:57:58,,1,0,5449324,5914668,1,2018-02-20 19:57:58
2018-02-20 19:57:56,,1,0,5449324,5914669,1,2018-02-20 19:57:56
2019-07-29 16:06:19,Call My Agent!,2,1,5449324,6023946,4,2019-07-29 16:06:19
2018-02-20 19:41:47,Disjointed,1,10,5449324,6055038,4,2018-02-20 19:41:47
2018-07-05 20:18:02,Champions,1,1,5449324,6090594,1,2018-07-05 20:18:02
2018-04-28 14:20:16,Pokémon,18,1,5449324,6125873,1,2018-04-28 14:20:16
2019-05-01 15:13:36,The OA,2,1,5449324,6146118,3,2019-05-01 15:13:36
2018-07-03 20:25:56,The Sinner,1,7,5449324,6190910,3,2018-07-03 20:25:56
2018-06-22 23:03:04,Future Sex,1,2,5449324,6215853,1,2018-06-22 23:03:04
2018-10-26 20:22:36,Carpool Karaoke: The Series,1,1,5449324,6242857,1,2018-10-26 20:22:36
2018-10-26 20:22:51,Carpool Karaoke: The Series,1,2,5449324,6243599,1,2018-10-26 20:22:51
2018-10-26 20:22:28,Carpool Karaoke: The Series,1,4,5449324,6243601,1,2018-10-26 20:22:28
2018-10-26 20:23:49,Carpool Karaoke: The Series,1,5,5449324,6243602,1,2018-10-26 20:23:49
2018-10-26 21:07:59,Carpool Karaoke: The Series,1,6,5449324,6243603,1,2018-10-26 21:07:59
2018-10-26 21:08:13,Carpool Karaoke: The Series,1,7,5449324,6243604,1,2018-10-26 21:08:13
2018-10-27 11:21:55,Carpool Karaoke: The Series,1,8,5449324,6287666,1,2018-10-27 11:21:55
2018-10-27 12:08:00,Carpool Karaoke: The Series,1,10,5449324,6301456,1,2018-10-27 12:08:00
2018-10-28 03:01:25,Carpool Karaoke: The Series,1,11,5449324,6301459,1,2018-10-28 03:01:25
2018-10-31 15:56:34,Carpool Karaoke: The Series,1,12,5449324,6311299,1,2018-10-31 15:56:34
2018-11-18 12:46:13,Carpool Karaoke: The Series,1,13,5449324,6311300,1,2018-11-18 12:46:13
2018-03-03 09:32:04,Dark,1,1,5449324,6327940,4,2018-03-03 09:32:04
2019-06-24 20:59:24,Carpool Karaoke: The Series,1,15,5449324,6334640,3,2019-06-24 20:59:24
2018-03-03 09:32:00,Dark,1,2,5449324,6347551,4,2018-03-03 09:32:00
2018-03-07 13:59:35,Dark,1,3,5449324,6347552,4,2018-03-07 13:59:35
2018-03-11 22:04:09,Dark,1,9,5449324,6347558,4,2018-03-11 22:04:09
2018-03-11 23:44:45,Dark,1,10,5449324,6347559,3,2018-03-11 23:44:45
2018-04-10 21:55:54,Siren (2018),1,1,5449324,6349611,3,2018-04-10 21:55:54
2018-04-10 21:56:00,Siren (2018),1,2,5449324,6349612,3,2018-04-10 21:56:00
2018-04-12 23:47:19,Lore,1,5,5449324,6350475,3,2018-04-12 23:47:19
2018-07-04 00:38:16,Happy!,1,6,5449324,6375666,3,2018-07-04 00:38:16
2020-05-17 00:46:59,Calls,1,3,5449324,6380193,1,2020-05-17 00:46:59
2018-02-26 04:34:52,American Crime Story,2,1,5449324,6389065,3,2018-02-26 04:34:52
2018-02-26 06:19:28,American Crime Story,2,2,5449324,6392997,3,2018-02-26 06:19:28
2018-02-24 03:04:48,The Good Doctor,1,9,5449324,6404216,3,2018-02-24 03:04:48
2018-02-24 03:04:44,The Good Doctor,1,10,5449324,6404217,3,2018-02-24 03:04:44
2018-07-11 13:44:41,Good Girls,1,1,5449324,6412771,4,2018-07-11 13:44:41
2018-04-20 22:00:41,The Exorcist,2,9,5449324,6412945,3,2018-04-20 22:00:41
2018-04-20 22:49:21,The Exorcist,2,10,5449324,6415451,3,2018-04-20 22:49:21
2018-02-24 03:04:37,The Good Doctor,1,11,5449324,6431699,3,2018-02-24 03:04:37
2018-10-31 21:15:48,Pokémon,18,49,5449324,6436084,3,2018-10-31 21:15:48
2018-11-01 02:53:02,Pokémon,18,50,5449324,6436085,3,2018-11-01 02:53:02
2018-11-01 02:53:03,Pokémon,18,51,5449324,6436087,3,2018-11-01 02:53:03
2018-11-01 02:53:04,Pokémon,18,52,5449324,6436088,3,2018-11-01 02:53:04
2018-11-01 02:53:05,Pokémon,18,53,5449324,6436089,3,2018-11-01 02:53:05
2018-03-16 19:29:00,Riverdale,2,15,5449324,6437709,4,2018-03-16 19:29:00
2018-07-04 01:19:35,Happy!,1,7,5449324,6447043,3,2018-07-04 01:19:35
2018-03-16 19:29:08,Marvel's Jessica Jones,2,1,5449324,6447438,4,2018-03-16 19:29:08
2018-02-24 03:26:43,The Good Doctor,1,12,5449324,6449965,3,2018-02-24 03:26:43
2018-07-10 01:57:22,Samantha!,1,4,5449324,6450129,3,2018-07-10 01:57:22
2018-07-10 12:22:01,Samantha!,1,7,5449324,6450133,3,2018-07-10 12:22:01
2019-05-07 22:51:18,The OA,2,2,5449324,6455544,3,2019-05-07 22:51:18
2019-05-08 13:04:51,The OA,2,3,5449324,6455551,3,2019-05-08 13:04:51
2019-05-08 13:05:16,The OA,2,4,5449324,6455702,3,2019-05-08 13:05:16
2019-07-20 04:43:12,Sweetbitter,1,1,5449324,6459112,3,2019-07-20 04:43:12
2018-07-11 20:26:08,Good Girls,1,2,5449324,6460595,4,2018-07-11 20:26:08
2018-12-31 00:24:41,You,1,2,5449324,6461783,3,2018-12-31 00:24:41
2019-01-05 01:12:48,You,1,4,5449324,6461785,1,2019-01-05 01:12:48
2019-01-05 19:11:29,You,1,5,5449324,6461786,3,2019-01-05 19:11:29
2019-01-05 22:47:09,You,1,6,5449324,6461787,3,2019-01-05 22:47:09
2019-01-06 03:37:19,You,1,7,5449324,6461788,3,2019-01-06 03:37:19
2019-01-07 23:59:18,You,1,8,5449324,6461789,3,2019-01-07 23:59:18
2018-04-18 23:24:21,Polyvalente,1,1,5449324,6467028,1,2018-04-18 23:24:21
2018-02-26 06:21:08,American Crime Story,2,3,5449324,6479508,3,2018-02-26 06:21:08
2018-02-28 21:43:36,American Crime Story,2,4,5449324,6479510,1,2018-02-28 21:43:36
2018-03-07 13:59:28,American Crime Story,2,6,5449324,6479513,3,2018-03-07 13:59:28
2018-03-12 00:03:23,American Crime Story,2,7,5449324,6479514,3,2018-03-12 00:03:23
2018-03-30 12:40:59,A Series of Unfortunate Events,2,1,5449324,6480441,3,2018-03-30 12:40:59
2018-03-30 12:41:17,A Series of Unfortunate Events,2,2,5449324,6480485,3,2018-03-30 12:41:17
2018-11-01 18:09:29,Pokémon,18,58,5449324,6485180,3,2018-11-01 18:09:29
2018-02-24 03:59:17,The Good Doctor,1,13,5449324,6489377,3,2018-02-24 03:59:17
2018-04-11 11:20:19,You Me Her,3,1,5449324,6497856,3,2018-04-11 11:20:19
2018-11-01 19:16:08,Pokémon,18,60,5449324,6499339,3,2018-11-01 19:16:08
2018-11-01 19:16:27,Pokémon,18,61,5449324,6499340,3,2018-11-01 19:16:27
2018-12-27 02:55:31,I Love You 2,1,1,5449324,6499485,3,2018-12-27 02:55:31
2018-04-12 23:19:47,Killing Eve,1,1,5449324,6499743,3,2018-04-12 23:19:47
2018-04-27 19:39:56,The Handmaid's Tale,2,1,5449324,6504355,3,2018-04-27 19:39:56
2018-10-25 11:17:42,Heathers,1,1,5449324,6506932,3,2018-10-25 11:17:42
2018-02-20 19:58:39,,2,26,5449324,6508114,1,2018-02-20 19:58:39
2018-02-24 04:39:06,The Good Doctor,1,14,5449324,6508572,3,2018-02-24 04:39:06
2018-03-07 13:58:57,The Good Doctor,1,15,5449324,6508573,3,2018-03-07 13:58:57
2018-03-15 22:10:07,The Good Doctor,1,16,5449324,6508574,3,2018-03-15 22:10:07
2018-07-29 18:54:13,Welcome to the Family (2018),1,1,5449324,6511712,3,2018-07-29 18:54:13
2018-05-03 09:57:17,Riverdale,2,20,5449324,6513425,1,2018-05-03 09:57:17
2018-07-30 11:00:56,Welcome to the Family (2018),1,2,5449324,6517924,3,2018-07-30 11:00:56
2018-07-30 22:43:28,Welcome to the Family (2018),1,9,5449324,6517931,3,2018-07-30 22:43:28
2018-05-11 09:55:09,gaelle garcia diaz,2016,43,5449324,6519956,3,2018-05-11 09:55:09
2018-02-20 19:58:34,,2,27,5449324,6520604,1,2018-02-20 19:58:34
2018-07-11 20:26:12,Good Girls,1,3,5449324,6521460,4,2018-07-11 20:26:12
2018-07-11 19:18:22,Good Girls,1,6,5449324,6521463,3,2018-07-11 19:18:22
2018-07-11 20:08:21,Good Girls,1,7,5449324,6521464,3,2018-07-11 20:08:21
2018-07-11 20:53:09,Good Girls,1,8,5449324,6521465,3,2018-07-11 20:53:09
2018-07-11 22:16:41,Good Girls,1,9,5449324,6521466,3,2018-07-11 22:16:41
2018-11-01 19:47:02,Pokémon,18,62,5449324,6522588,3,2018-11-01 19:47:02
2018-02-23 18:06:45,Skam France,1,1,5449324,6524674,3,2018-02-23 18:06:45
2018-02-20 19:58:36,,2,28,5449324,6525038,1,2018-02-20 19:58:36
2018-04-09 21:20:28,The Simpsons,29,15,5449324,6525903,4,2018-04-09 21:20:28
2018-02-20 19:58:32,,2,29,5449324,6528957,1,2018-02-20 19:58:32
2018-03-17 20:21:12,On My Block,1,1,5449324,6529891,1,2018-03-17 20:21:12
2018-03-18 16:09:55,On My Block,1,2,5449324,6530615,3,2018-03-18 16:09:55
2018-03-18 16:10:09,On My Block,1,3,5449324,6530616,4,2018-03-18 16:10:09
2018-03-18 17:01:07,On My Block,1,4,5449324,6530617,4,2018-03-18 17:01:07
2018-03-18 17:01:01,On My Block,1,5,5449324,6530618,4,2018-03-18 17:01:01
2018-03-18 17:31:13,On My Block,1,6,5449324,6530619,4,2018-03-18 17:31:13
2018-02-23 18:06:54,Skam France,1,2,5449324,6533375,3,2018-02-23 18:06:54
2018-02-23 18:07:01,Skam France,1,3,5449324,6533382,1,2018-02-23 18:07:01
2018-03-02 19:04:00,Skam France,1,4,5449324,6533383,1,2018-03-02 19:04:00
2018-03-09 18:24:09,Skam France,1,5,5449324,6533384,3,2018-03-09 18:24:09
2018-03-16 19:26:07,Skam France,1,6,5449324,6533385,3,2018-03-16 19:26:07
2018-02-20 19:58:28,,2,30,5449324,6534451,1,2018-02-20 19:58:28
2018-02-20 19:58:26,,2,31,5449324,6539592,1,2018-02-20 19:58:26
2018-02-20 19:58:21,,2,32,5449324,6544254,1,2018-02-20 19:58:21
2018-04-03 20:03:33,The Simpsons,29,14,5449324,6544900,1,2018-04-03 20:03:33
2018-03-07 13:59:07,Jane the Virgin,4,11,5449324,6547001,3,2018-03-07 13:59:07
2018-02-20 19:58:18,,2,33,5449324,6549742,1,2018-02-20 19:58:18
2018-03-07 13:59:14,High Maintenance (2016),2,7,5449324,6554398,3,2018-03-07 13:59:14
2018-02-20 19:58:16,,2,34,5449324,6555059,1,2018-02-20 19:58:16
2018-03-20 13:28:13,Clem,8,1,5449324,6558253,4,2018-03-20 13:28:13
2018-03-20 16:15:09,Clem,8,2,5449324,6558254,4,2018-03-20 16:15:09
2018-03-27 17:18:42,Clem,8,3,5449324,6558255,4,2018-03-27 17:18:42
2018-03-27 17:20:46,Clem,8,4,5449324,6558256,4,2018-03-27 17:20:46
2018-02-20 19:57:14,,2,35,5449324,6561024,1,2018-02-20 19:57:14
2018-10-25 20:11:42,Heathers,1,2,5449324,6563095,3,2018-10-25 20:11:42
2018-10-26 12:28:21,Heathers,1,3,5449324,6563096,3,2018-10-26 12:28:21
2018-03-23 16:22:39,Santa Clarita Diet,2,1,5449324,6563443,3,2018-03-23 16:22:39
