type,vote_type,created_at,network_platform,user_id,id,episode_id,range_key,hash_key,series_name,episode_number,season_number
selection,how-did-you,2021-08-09 19:58:31,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> external_source_type:<nil> is_cascaded:false logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,d5bb0fef-2b79-4927-8325-79b43bca1e7f,0,5449324,399461e8-6f6b-4792-80fc-d39b6ff80c69,,,
selection,how-did-you,2021-10-01 14:41:12,,5449324,f3ccbee0-60ce-4eb5-afc6-9d283d52660a,0,5449324,8664b336-d295-4d89-bde9-bb3f3139d50b,,,
selection,how-did-you,2021-12-10 15:44:23,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> external_source_type:<nil> is_cascaded:false logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,dec1a5a6-e296-42fe-be21-2f4da3ed6f43,0,5449324,e8461e31-4507-4f99-8e8d-08b3ef7f99ae,,,
selection,how-did-you,2021-09-21 18:18:11,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> external_source_type:<nil> is_cascaded:false logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,ece54aa8-9848-4c29-9a26-2ea02826732b,0,5449324,02840749-b8a5-4a70-864e-38107c830b1a,,,
selection,how-did-you,2021-10-06 20:55:51,,5449324,74d63105-be68-4efc-93fb-b4c494db7bf4,0,5449324,8ef12c09-c030-4ccf-ba3e-ed313393a427,,,
selection,how-did-you,2021-05-19 20:30:06,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,5133ab21-c57d-4e8a-ba5f-6d799fdbf28b,0,5449324,f9db2943-03f0-4d3b-9d55-173b09f56623,,,
selection,how-did-you,2024-01-16 22:03:49,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> external_source_type:<nil> is_cascaded:false logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,97dbe794-15f8-43cd-bc5f-f78d108eac3b,0,5449324,ff5a4724-c6d9-4bd2-b3a1-791314b0611b,,,
selection,how-did-you,2022-01-11 05:52:50,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> external_source_type:<nil> is_cascaded:false logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,1838e382-76b5-4174-b44a-1e903bc0a718,0,5449324,de398a3d-5f4d-4121-85a8-047242dd846e,,,
selection,how-did-you,2021-10-23 17:38:12,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> external_source_type:<nil> is_cascaded:false logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,ac00e4ca-d643-4134-ae93-2f5fa1baf24b,0,5449324,e44ee911-2c5e-41a6-acf3-6a5d9aa9a73c,,,
selection,how-did-you,2021-08-28 18:12:59,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> external_source_type:<nil> is_cascaded:false logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,bf872e50-6744-41f8-b088-51f7a1370caa,0,5449324,1edf98ad-ca21-4ac5-9691-0c2d6b474912,,,
