created_at,updated_at,user_id,blocked_user_id
2019-07-01 20:10:29,2019-07-01 20:10:29,5449324,3759711
2019-07-20 02:46:02,2019-07-20 02:46:02,5449324,6224820
2019-07-18 22:11:36,2019-07-18 22:11:36,5449324,11750378
2019-07-18 22:11:43,2019-07-18 22:11:43,5449324,22452924
